key,time,event
u,1723989253.3151455,press
e,1723989253.3216684,release
w,1723989253.4800596,release
i,1723989253.6093283,press
u,1723989253.6140668,release
u,1723989253.7588646,press
d,1723989253.82729,press
i,1723989253.8550508,release
u,1723989253.8840172,release
w,1723989253.8969824,press
e,1723989253.9479687,press
d,1723989253.9701443,release
u,1723989254.0571282,press
i,1723989254.0640512,press
e,1723989254.1203322,release
w,1723989254.1490052,release
u,1723989254.1765437,release
d,1723989254.1785047,press
i,1723989254.2071562,release
a,1723989254.2961776,press
s,1723989254.3081589,press
d,1723989254.3229852,release
j,1723989254.413429,press
j,1723989254.5463312,release
k,1723989254.5961854,press
j,1723989254.6753268,press
f,1723989254.7105985,press
a,1723989254.71121,release
k,1723989254.7591326,release
s,1723989254.881378,release
f,1723989254.9108956,release
a,1723989254.942209,press
s,1723989254.9550252,press
i,1723989254.9772668,press
d,1723989255.012696,press
i,1723989255.059527,release
s,1723989255.091006,release
a,1723989255.0912883,release
j,1723989255.1909444,release
d,1723989255.2576814,release
i,1723989255.2590497,press
d,1723989255.3755205,press
Key.space,1723989255.4160643,press
i,1723989255.5264444,release
d,1723989255.5350952,release
a,1723989255.5415406,press
Key.space,1723989255.5714614,release
d,1723989255.657288,press
u,1723989255.6657977,press
a,1723989255.6893294,release
i,1723989255.8112416,press
a,1723989255.8701038,press
d,1723989255.8750582,release
u,1723989255.8842072,release
s,1723989255.9155178,press
u,1723989255.9644904,press
d,1723989256.007721,press
s,1723989256.0479877,release
a,1723989256.0481055,release
i,1723989256.0757775,release
i,1723989256.2407975,press
u,1723989256.2721534,release
e,1723989256.3552444,press
i,1723989256.3709629,release
e,1723989256.4081745,release
d,1723989256.5441453,release
d,1723989256.6800697,press
s,1723989256.8315701,press
d,1723989256.866087,release
i,1723989256.9046392,press
d,1723989256.9904838,press
s,1723989257.0342448,release
u,1723989257.287864,press
e,1723989257.3068407,press
i,1723989257.3088098,release
d,1723989257.3248432,release
e,1723989257.4521892,release
d,1723989257.4688694,press
a,1723989257.572226,press
s,1723989257.5851808,press
d,1723989257.6313388,release
a,1723989257.7617497,release
d,1723989257.7843318,press
s,1723989257.798994,release
i,1723989257.8549013,press
u,1723989257.9389694,release
d,1723989257.942825,release
Key.space,1723989257.953082,press
s,1723989257.9871128,press
i,1723989258.0102897,release
Key.space,1723989258.0829291,release
d,1723989258.2208533,press
u,1723989258.2914097,press
s,1723989258.3191404,release
i,1723989258.364963,press
u,1723989258.47136,release
u,1723989258.601237,press
i,1723989258.644586,release
e,1723989258.6559222,press
d,1723989258.6709936,release
u,1723989258.7609088,release
e,1723989258.7982533,release
d,1723989258.7999237,press
i,1723989258.8581176,press
d,1723989258.9026997,release
a,1723989258.9075453,press
i,1723989258.9880717,release
s,1723989259.003166,press
d,1723989259.0792449,press
s,1723989259.0988526,release
i,1723989259.1235144,press
i,1723989259.385593,release
d,1723989259.4997141,release
i,1723989259.5291991,press
d,1723989259.630148,press
i,1723989259.6930888,release
d,1723989259.7304783,release
u,1723989259.7461069,press
i,1723989259.7483616,press
e,1723989259.8359118,press
u,1723989259.9117827,release
i,1723989259.9264932,release
e,1723989259.971927,release
d,1723989260.016858,press
a,1723989260.0576394,release
a,1723989260.1620858,press
d,1723989260.219446,release
i,1723989260.2281444,press
d,1723989260.4185693,press
Key.space,1723989260.421694,press
i,1723989260.437575,release
a,1723989260.458408,release
d,1723989260.5403252,release
Key.space,1723989260.5681374,release
a,1723989260.6129022,press
u,1723989260.6499753,press
s,1723989260.708236,press
i,1723989260.7252052,press
a,1723989260.781221,release
d,1723989260.7837152,press
u,1723989260.8357718,release
s,1723989260.848407,release
a,1723989260.9321992,press
u,1723989260.9857037,press
i,1723989261.1042001,release
d,1723989261.1705728,release
e,1723989261.1753073,press
u,1723989261.1869369,release
i,1723989261.2337928,press
e,1723989261.3291357,release
u,1723989261.508949,press
i,1723989261.5208004,release
f,1723989261.5722356,press
a,1723989261.616132,release
u,1723989261.6741972,release
i,1723989261.7472599,press
a,1723989261.7588215,press
f,1723989261.7718868,release
s,1723989261.9031544,press
u,1723989261.9330697,press
i,1723989262.0219655,release
